date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,bps,eps,dps
2024-10-16,59400,60000,59200,59500,23303268,-2.459016393442623,-46452166700,6165594000,312900915300,-272614342600,27.92,1.14,2.43,52002,2131,1444
2024-10-17,59400,60100,59100,59700,23372873,0.33613445378151263,67417847600,-748371400,211340296600,-278009772800,28.02,1.15,2.42,52002,2131,1444
2024-10-18,59900,60100,59100,59200,14420260,-0.8375209380234505,-15791144600,2560676400,185547133000,-172316664800,27.78,1.14,2.44,52002,2131,1444
2024-10-21,59000,59600,58500,59000,18514905,-0.33783783783783783,-43073272100,650786700,83708361000,-41285875600,27.69,1.13,2.45,52002,2131,1444
2024-10-22,58800,58900,57700,57700,27582527,-2.2033898305084745,-153427518400,4534527100,434483652300,-285590661000,27.08,1.11,2.5,52002,2131,1444
2024-10-23,57500,60000,57100,59100,27300780,2.4263431542461005,57771134500,4697032500,-11319273000,-51148894000,27.73,1.14,2.44,52002,2131,1444
2024-10-24,58200,58500,56600,56600,31499922,-4.230118443316413,-85250664600,7359540900,732467484500,-654576360800,26.56,1.09,2.55,52002,2131,1444
2024-10-25,56000,56900,55800,55900,25829315,-1.2367491166077738,-41201174600,6552748400,357043271600,-322394845400,26.23,1.07,2.58,52002,2131,1444
2024-10-28,55700,58500,55700,58100,27775009,3.9355992844364938,153891505300,2519383700,-166304241300,9893352300,27.26,1.12,2.49,52002,2131,1444
2024-10-29,58000,59600,57300,59600,28369314,2.5817555938037864,107615447700,4186486000,-120322429300,8520495600,27.97,1.15,2.42,52002,2131,1444
2024-10-30,59100,59800,58600,59100,19838511,-0.8389261744966443,51957796500,8724962700,123521951100,-184204710300,27.73,1.14,2.44,52002,2131,1444
2024-10-31,58500,61200,58300,59200,35809196,0.1692047377326565,119541307900,5207373500,-8300228400,-116448453000,27.78,1.14,2.44,52002,2131,1444
2024-11-01,59000,59600,58100,58300,19083180,-1.5202702702702704,-106474119100,4484366000,226312310500,-124322557400,27.36,1.12,2.48,52002,2131,1444
2024-11-04,58600,59400,58400,58700,15586947,0.6861063464837049,74743652100,1764026100,47903099300,-124410777500,27.55,1.13,2.46,52002,2131,1444
2024-11-05,57800,58100,57200,57600,17484474,-1.8739352640545146,-49121326600,3772201500,225948745500,-180599620400,27.03,1.11,2.51,52002,2131,1444
2024-11-06,57600,58000,56300,57300,22092218,-0.5208333333333333,-24710719800,10591105200,161987263000,-147867648400,26.89,1.1,2.52,52002,2131,1444
2024-11-07,56900,58100,56800,57500,17043102,0.34904013961605584,3306233300,15428332900,3559836700,-22294402900,26.98,1.11,2.51,52002,2131,1444
2024-11-08,58000,58300,57000,57000,13877396,-0.8695652173913043,65901393900,-37528067500,62301055900,-90674382300,26.75,1.1,2.53,52002,2131,1444
2024-11-11,56700,56800,55000,55000,29811326,-3.508771929824561,-100887804300,8358002400,632096433300,-539566631400,25.81,1.06,2.63,52002,2131,1444
2024-11-12,54600,54600,53000,53000,37962881,-3.6363636363636362,9418379200,-22255651000,442767234500,-429929962700,24.87,1.02,2.72,52002,2131,1444
2024-11-13,52000,53000,50500,50600,52527995,-4.528301886792453,71482964800,14234783600,646229186300,-731946934700,23.74,0.97,2.85,52002,2131,1444
2024-11-14,50200,51800,49900,49900,48510715,-1.383399209486166,78194113400,25993321700,365528028000,-469715463100,23.42,0.96,2.89,52002,2131,1444
2024-11-15,50300,54200,50300,53500,46774485,7.214428857715431,53140228500,23728536700,-205662256300,128793491100,25.11,1.03,2.7,52002,2131,1444
2024-11-18,57000,57500,55900,56700,48095234,5.981308411214954,-32034673400,10982266500,182502810400,-161450403500,26.61,1.09,2.55,52002,2131,1444
2024-11-19,56500,57500,55900,56300,31539632,-0.7054673721340388,132204202600,4646474000,-9126088900,-127724587700,26.42,1.08,2.56,52002,2131,1444
2024-11-20,56100,56500,54800,55300,20864667,-1.7761989342806392,-14709361100,39821019400,43389019700,-68500678000,25.95,1.06,2.61,52002,2131,1444
2024-11-21,54900,56900,54700,56400,19096850,1.9891500904159132,51865521500,53577524200,-65993853500,-39449192200,26.47,1.08,2.56,52002,2131,1444
2024-11-22,56000,56700,55900,56000,15281543,-0.7092198581560284,78954650100,57634290200,42552389500,-179141329800,26.28,1.08,2.58,52002,2131,1444
2024-11-25,57400,57900,56700,57900,36237325,3.392857142857143,129238873400,38838237500,-159141720200,-8935390700,27.17,1.11,2.49,52002,2131,1444
2024-11-26,57900,58900,57500,58300,23209405,0.690846286701209,-114267592500,52802179600,8328291400,53137121500,27.36,1.12,2.48,52002,2131,1444
2024-11-27,57700,57800,56000,56300,21808387,-3.430531732418525,-21736528300,72282433100,231707956300,-282253861100,26.42,1.08,2.56,52002,2131,1444
2024-11-28,56000,56400,55200,55500,20001134,-1.4209591474245116,1650113300,63666812900,121691221000,-187008147200,26.04,1.07,2.6,52002,2131,1444
2024-11-29,55100,55300,53800,54200,24513531,-2.3423423423423424,-30113222300,60453441800,169402126900,-199742346400,25.43,1.04,2.66,52002,2131,1444
2024-12-02,54300,54400,53100,53600,22044867,-1.107011070110701,109468285800,38644371100,64478812400,-212591469300,25.15,1.03,2.69,52002,2131,1444
2024-12-03,53100,54400,53100,53600,23374603,0.0,15783608100,48359639800,48277933100,-112421181000,25.15,1.03,2.69,52002,2131,1444
2024-12-04,52000,53400,52000,53100,29004766,-0.9328358208955223,-18825195400,36539111400,57948703300,-75662619300,24.92,1.02,2.72,52002,2131,1444
2024-12-05,53200,54400,53200,53700,23588277,1.1299435028248588,135073761800,52486304400,-48106175500,-139453890700,25.2,1.03,2.69,52002,2131,1444
2024-12-06,53900,54400,52700,54100,22861874,0.74487895716946,169663401500,52497685600,-151205190900,-70955896200,25.39,1.04,2.67,52002,2131,1444
2024-12-09,53500,54600,53200,53400,26227680,-1.2939001848428837,132599162600,64076818200,-122811512100,-73864468700,25.06,1.03,2.7,52002,2131,1444
2024-12-10,54500,54500,53700,54000,20783970,1.1235955056179776,58477376100,79182885000,-5819213600,-131841047500,25.34,1.04,2.67,52002,2131,1444
2024-12-11,53600,54200,53400,54000,14565947,0.0,6822425500,76430784900,-2532918800,-80720291600,25.34,1.04,2.67,52002,2131,1444
2024-12-12,54000,56500,53900,55900,33476698,3.5185185185185186,152648047300,77677134600,-172686717500,-57638464400,26.23,1.07,2.58,52002,2131,1444
2024-12-13,55800,56300,55500,56100,15908823,0.35778175313059035,37514639300,84752413200,-11540651900,-110726400600,26.33,1.08,2.57,52002,2131,1444
2024-12-16,56300,56600,55200,55600,15277277,-0.8912655971479502,10045177700,54985122000,104842843900,-169873143600,26.09,1.07,2.6,52002,2131,1444
2024-12-17,54700,55200,54000,54200,20215230,-2.5179856115107913,35989792200,50615570900,145868365700,-232473728800,25.43,1.04,2.66,52002,2131,1444
2024-12-18,54100,55400,54000,54900,13698937,1.2915129151291513,4331298400,54742161700,-99993664400,40920204300,25.76,1.06,2.63,52002,2131,1444
2024-12-19,53500,53800,53100,53100,22481925,-3.278688524590164,-149979391000,76802448500,400922765800,-327745823300,24.92,1.02,2.72,52002,2131,1444
2024-12-20,52700,53100,51900,53000,24674774,-0.18832391713747645,-69700337300,75214922400,244320268700,-249834853800,24.87,1.02,2.72,52002,2131,1444
2024-12-23,53400,54000,53300,53500,13672650,0.9433962264150944,24961655300,57148805300,-37622295300,-44488165300,25.11,1.03,2.7,52002,2131,1444
2024-12-24,53700,54500,53600,54400,11634677,1.6822429906542056,3599664600,61666134600,-168358856200,103093057000,25.53,1.05,2.65,52002,2131,1444
2024-12-26,54500,54600,53500,53600,10517075,-1.4705882352941175,-6930760500,67237626700,13274611300,-73581477500,25.15,1.03,2.69,52002,2131,1444
2024-12-27,53500,54100,53200,53700,10747196,0.18656716417910446,-13922536000,55601263000,-39507459700,-2171267300,25.2,1.03,2.69,52002,2131,1444
2024-12-30,53300,54000,53100,53200,12624702,-0.931098696461825,-3277287800,73455673600,72859108500,-143037494300,24.96,1.02,2.71,52002,2131,1444
2025-01-02,52700,53600,52300,53400,16630538,0.37593984962406013,-83508751500,55259576500,80049851500,-51800676500,25.06,1.03,2.7,52002,2131,1444
2025-01-03,52800,55100,52800,54400,19318046,1.8726591760299627,116408415900,53676707000,-204685038000,34599915100,25.53,1.05,2.65,52002,2131,1444
2025-01-06,54400,56200,54300,55900,19034284,2.7573529411764706,52991253500,54320359300,-202252708700,94941095900,26.23,1.07,2.58,52002,2131,1444
2025-01-07,56800,57300,55400,55400,17030235,-0.8944543828264758,-13323103000,58530694500,4122808500,-49330400000,26.0,1.07,2.61,52002,2131,1444
2025-01-08,54800,57500,54700,57300,26593553,3.429602888086643,23450480800,40694102400,-337491568500,273346985300,26.89,1.1,2.52,52002,2131,1444
2025-01-09,57600,57700,56100,56100,24490592,-2.094240837696335,-183638580700,41360840400,99446870200,42830870100,26.33,1.08,2.57,52002,2131,1444
2025-01-10,56100,56500,55200,55300,16059223,-1.4260249554367201,-91326576700,44332543400,157218607900,-110224574600,25.95,1.06,2.61,52002,2131,1444
2025-01-13,54600,55000,54100,54100,16868600,-2.1699819168173597,-16857617800,49316216000,219262125100,-251720723300,25.39,1.04,2.67,52002,2131,1444
2025-01-14,54200,54600,53700,53900,17465926,-0.36968576709796674,-212138700,20774624400,180051577400,-200614063100,25.29,1.04,2.68,52002,2131,1444
2025-01-15,54100,54700,53500,53700,18625025,-0.3710575139146568,-89480552100,34738855700,199695045200,-144953348800,25.2,1.03,2.69,52002,2131,1444
2025-01-16,54200,55000,54100,54300,18627298,1.1173184357541899,-15198179100,27688243900,-67709317800,55219253000,25.48,1.04,2.66,52002,2131,1444
2025-01-17,53800,54100,53200,53700,18805344,-1.1049723756906076,-107178895700,37807257300,340415858200,-271044219800,25.2,1.03,2.69,52002,2131,1444
2025-01-20,53600,53900,53300,53400,11822531,-0.5586592178770949,-16657375800,34576904100,117034495200,-134954023500,25.06,1.03,2.7,52002,2131,1444
2025-01-21,53700,54300,53300,53500,13535702,0.18726591760299627,-8012734100,34807922000,16707203700,-43502391600,25.11,1.03,2.7,52002,2131,1444
2025-01-22,53400,54400,53100,54300,18341991,1.4953271028037385,46469246900,33296532500,-8940546200,-70825233200,25.48,1.04,2.66,52002,2131,1444
2025-01-23,53700,54100,53500,53700,15588067,-1.1049723756906076,12566586200,33417720100,57835548300,-103819854600,25.2,1.03,2.69,52002,2131,1444
2025-01-24,53600,53800,53200,53700,11867631,0.0,-5198457100,40665100500,60520832200,-95987475600,25.2,1.03,2.69,52002,2131,1444
2025-01-31,52200,53000,51700,52400,42186279,-2.4208566108007448,109442006500,39499125000,551584720100,-700525851600,24.59,1.01,2.76,52002,2131,1444
2025-02-03,51100,51400,50800,51000,32344897,-2.6717557251908395,-97205947500,53011506200,446294375700,-402099934400,23.93,0.98,2.83,52002,2131,1444
2025-02-04,51600,53600,51500,52700,27214851,3.3333333333333335,-9676792500,12451316100,-193356720300,190582196700,24.73,1.01,2.74,52002,2131,1444
2025-02-05,53600,53800,52800,52900,15974885,0.3795066413662239,14673671600,30312394200,70404987700,-115391053500,24.82,1.02,2.73,52002,2131,1444
2025-02-06,53400,54000,53200,54000,16466025,2.0793950850661624,72929332700,23215095900,-150748123400,54603694800,25.34,1.04,2.67,52002,2131,1444
2025-02-07,53900,54200,53600,53700,14476866,-0.5555555555555556,73596487900,33136422600,723663400,-107456573900,25.2,1.03,2.69,52002,2131,1444
2025-02-10,53000,55900,52900,55600,27577591,3.5381750465549344,157326703800,39003300600,-237903802300,41573797900,26.09,1.07,2.6,52002,2131,1444
2025-02-11,55500,56300,55000,55700,24596196,0.1798561151079137,151464802900,9578141100,-201080109000,40037165000,26.14,1.07,2.59,52002,2131,1444
2025-02-12,55100,55900,54500,55800,26428596,0.17953321364452424,-356133811484,28660178500,-54173023100,381646656084,26.18,1.07,2.59,52002,2131,1444
2025-02-13,56100,56400,55600,55800,22448377,0.0,108353145200,32287175700,-26383401700,-114256919200,26.18,1.07,2.59,52002,2131,1444
2025-02-14,56000,57300,56000,56000,23979779,0.35842293906810035,163619030800,-5850720100,-106590531700,-51177779000,26.28,1.08,2.58,52002,2131,1444
2025-02-17,56100,56500,55700,56000,11916027,0.0,49243524400,-319756300,22492322700,-71416090800,26.28,1.08,2.58,52002,2131,1444
2025-02-18,56200,57200,55900,56900,22131007,1.607142857142857,56476823200,-1363928800,-188257255500,133144361100,26.7,1.09,2.54,52002,2131,1444
2025-02-19,57400,58900,57300,58700,25395151,3.163444639718805,296426045500,58018622800,-465091368000,110646699700,27.55,1.13,2.46,52002,2131,1444
2025-02-20,59100,59100,58100,58400,21589059,-0.5110732538330494,-16938430600,61119489000,-58663235900,14482177500,27.4,1.12,2.47,52002,2131,1444
2025-02-21,58400,58500,57100,58200,22198428,-0.3424657534246575,-26376077700,57334337500,25258800300,-56217060100,27.31,1.12,2.48,52002,2131,1444
2025-02-24,57300,57700,57200,57300,14138471,-1.5463917525773196,-89754668600,57500200300,21485426700,10769041600,26.89,1.1,2.52,52002,2131,1444
2025-02-25,56600,57800,56500,57200,14625181,-0.17452006980802792,-70386553800,63097542300,-31072624100,38361635600,26.84,1.1,2.52,52002,2131,1444
2025-02-26,57000,57100,56100,56600,18117091,-1.048951048951049,47256355700,45108634900,119471096600,-211836087200,26.56,1.09,2.55,52002,2131,1444
2025-02-27,56500,57100,56200,56300,14975356,-0.5300353356890459,-100935120100,-3208563400,67592931600,36550751900,26.42,1.08,2.56,52002,2131,1444
2025-02-28,55400,55700,54500,54500,28036698,-3.197158081705151,-184875697500,60955702200,310457928200,-186537932900,25.57,1.05,2.65,52002,2131,1444
2025-03-04,53900,55000,53800,54500,18553933,0.0,-48124106150,66541222300,16949305700,-35366421850,25.57,1.05,2.65,52002,2131,1444
2025-03-05,55100,55400,54000,54000,16578817,-0.9174311926605505,-140451170150,59135284850,202978438500,-121662553200,25.34,1.04,2.67,52002,2131,1444
2025-03-06,54100,54500,54000,54300,12258101,0.5555555555555556,-36760449100,63086943000,35688993500,-62015487400,25.48,1.04,2.66,52002,2131,1444
2025-03-07,53500,54200,53400,53700,14274992,-1.1049723756906076,-39312804300,73941478450,111741715200,-146370389350,25.2,1.03,2.69,52002,2131,1444
2025-03-10,53500,54800,53500,53700,12921670,0.0,-18477894750,65385269150,32049403000,-78956777400,25.2,1.03,2.69,52002,2131,1444
2025-03-11,52500,54100,52500,53600,17740891,-0.186219739292365,-95342786700,68525828450,51415675600,-24598717350,25.15,1.03,2.69,52002,2131,1444
2025-03-12,53800,55300,53600,54900,17973221,2.425373134328358,372692200,55210685300,-182837723550,127254346050,25.76,1.06,2.63,52002,2131,1444
2025-03-13,55800,55900,54200,54700,24132151,-0.36429872495446264,101067822150,64952122500,-3415779600,-162604165050,25.67,1.05,2.64,52002,2131,1444
2025-03-14,54500,55100,54400,54700,10845154,0.0,15548446600,67893031600,22181633150,-105623111350,25.67,1.05,2.64,52002,2131,1444
2025-03-17,55500,57800,55400,57600,35559021,5.301645338208409,227409473000,59312941450,-776339057450,489616643000,27.03,1.11,2.51,52002,2131,1444
2025-03-18,58800,59000,57300,57600,28138594,0.0,-6841657050,68320890650,-278751821250,217272587650,27.03,1.11,2.51,52002,2131,1444
2025-03-19,57400,59200,57400,58500,29421759,1.5625,134229875300,67291964100,-478178141250,276656301850,27.45,1.12,2.47,52002,2131,1444
2025-03-20,59200,60300,58500,60200,34989004,2.905982905982906,27374739700,61420670350,-590076078950,501280668900,28.25,1.16,2.4,52002,2131,1444
2025-03-21,60900,61700,60400,61700,40155612,2.4916943521594686,-62412762800,64190179000,-482544354800,480766938600,28.95,1.19,2.34,52002,2131,1444
2025-03-24,61200,61600,60500,60500,14088094,-1.9448946515397085,-19216369350,53387892700,5134742250,-39306265600,28.39,1.16,2.39,52002,2131,1444
2025-03-25,60900,61100,59500,59800,17259455,-1.1570247933884297,-18467825550,52345572150,-30550780900,-3326965700,28.06,1.15,2.41,52002,2131,1444
2025-03-26,59800,61400,59700,61400,16431645,2.6755852842809364,31600506950,46738503100,-220606254150,142267244100,28.81,1.18,2.35,52002,2131,1444
2025-03-27,60900,62000,60800,61800,20389790,0.6514657980456027,-66876741900,57329052550,-310956878950,320504568300,29.0,1.19,2.34,52002,2131,1444
2025-03-28,60700,61100,60000,60200,16282514,-2.5889967637540456,-81015820400,55742634500,120553240350,-95280054450,28.25,1.16,2.4,52002,2131,1444
2025-03-31,59500,59700,57800,57800,17633494,-3.9867109634551494,27456897450,53470807650,127787126350,-208714831450,27.12,1.11,2.5,52002,2131,1444
2025-04-01,58700,59600,57900,58800,13841706,1.7301038062283738,1611043400,59031775350,40578126200,-101220944950,27.59,1.13,2.46,52002,2131,1444
2025-04-02,58800,59400,58300,58800,14402297,0.0,-31738931300,53671246250,5760199850,-27692514800,27.59,1.13,2.46,52002,2131,1444
2025-04-03,56900,57800,56900,57600,19508076,-2.0408163265306123,-19715069700,58638066900,265327292550,-304250289750,27.03,1.11,2.51,52002,2131,1444
2025-04-04,56200,58200,55700,56100,23527139,-2.604166666666667,3244325200,57878040950,348907730750,-410030096900,26.33,1.08,2.57,52002,2131,1444
2025-04-07,53300,54100,53100,53200,31998883,-5.169340463458111,69730121000,68066841600,520940505150,-658737467750,24.96,1.02,2.71,52002,2131,1444
2025-04-08,55000,55300,53300,53500,25532845,0.5639097744360901,-26713639250,55372016300,191468642700,-220127019750,25.11,1.03,2.7,52002,2131,1444
2025-04-09,53300,54300,52900,53000,20576960,-0.9345794392523363,-78666793950,64329513700,157983582700,-143646302450,24.87,1.02,2.72,52002,2131,1444
2025-04-10,56600,56700,55000,56400,22948172,6.415094339622642,63255063850,40516085700,-91775065350,-11996084200,26.47,1.08,2.56,52002,2131,1444
2025-04-11,55600,55700,54800,55200,13930480,-2.127659574468085,7840723800,56696461500,159860434950,-224397620250,25.9,1.06,2.62,52002,2131,1444
2025-04-14,56300,56700,55800,56200,12852613,1.8115942028985508,-15985065900,37122192700,-72315411750,51178284950,26.37,1.08,2.57,52002,2131,1444
2025-04-15,56300,57100,56200,56600,8998640,0.7117437722419928,13069621550,37873210300,-88421365500,37478533650,26.56,1.09,2.55,52002,2131,1444
2025-04-16,56000,56200,54500,54700,14437025,-3.356890459363958,-26900377050,37877414200,256658704650,-267635741800,25.67,1.05,2.64,52002,2131,1444
2025-04-17,54700,55300,54500,55100,10867069,0.7312614259597806,51483271600,39227324200,22666639050,-113377234850,25.86,1.06,2.62,52002,2131,1444
2025-04-18,55300,55600,54900,55300,5848342,0.3629764065335753,-37997338050,39519722300,-28878189800,27355805550,25.95,1.06,2.61,52002,2131,1444
2025-04-21,55200,56000,55100,55400,5941847,0.18083182640144665,-27989832750,38982924500,-8032452250,-2960639500,26.0,1.07,2.61,52002,2131,1444
2025-04-22,54900,55500,54700,55000,9532469,-0.7220216606498195,-2738922550,37696872450,65268175900,-100226125800,25.81,1.06,2.63,52002,2131,1444
2025-04-23,56000,56100,55500,55700,11148692,1.2727272727272727,83417533300,49218911850,-49880021750,-82756423400,26.14,1.07,2.59,52002,2131,1444
2025-04-24,55600,55800,55200,55700,10580377,0.0,-46326537200,37372147450,6181094250,2773295500,26.14,1.07,2.59,52002,2131,1444
2025-04-25,56400,56400,55600,55700,12183303,0.0,43227306600,34682100800,9629858800,-87539266200,26.14,1.07,2.59,52002,2131,1444
2025-04-28,55800,55900,55500,55800,9341518,0.17953321364452424,-5950596400,28035305150,13564533000,-35649241750,26.18,1.07,2.59,52002,2131,1444
2025-04-29,55700,56500,55600,55800,10295518,0.0,44064643300,27464978200,-62287077550,-9242543950,26.18,1.07,2.59,52002,2131,1444
2025-04-30,55900,56000,55300,55500,13014189,-0.5376344086021506,-37251529900,30284378450,97200417050,-90233265600,26.04,1.07,2.6,52002,2131,1444
2025-05-02,55000,55500,54200,54300,22454204,-2.1621621621621623,61469744300,50795589700,543973458200,-656238792200,10.97,0.94,2.66,57951,4950,1446
2025-05-07,54500,55000,54300,54600,17136991,0.5524861878453038,8326490500,27919690900,92472694700,-128718876100,11.03,0.94,2.65,57951,4950,1446
2025-05-08,55100,55500,54500,54600,16320532,0.0,-110316118900,19390640250,85891185500,5034293150,11.03,0.94,2.65,57951,4950,1446
2025-05-09,54700,55000,54400,54800,7814322,0.3663003663003663,-33704764150,30990516950,2855881450,-141634250,11.07,0.95,2.64,57951,4950,1446
